Frame,Current_Loudness,Baseline_Loudness,Delta_Loudness,Baseline_Loudness_Deviation,Loudness_Category
268,-6.008898,-6.010703086853027,0.0018053055,0.0013693991350010037,No Significant Change
269,-6.012398,-6.010612964630127,-0.0017848015,0.0013911945279687643,No Significant Change
270,-6.0088797,-6.010702610015869,0.0018229485,0.0014108747709542513,No Significant Change
271,-6.0124474,-6.010611534118652,-0.0018358231,0.0014314784202724695,No Significant Change
272,-6.008834,-6.0107035636901855,0.0018696785,0.0014516956871375442,No Significant Change
273,-6.0124807,-6.010610103607178,-0.0018706322,0.0014725947985425591,No Significant Change
274,-6.0088215,-6.0107035636901855,0.0018820763,0.0014924965798854828,No Significant Change
275,-6.012516,-6.0106096267700195,-0.001906395,0.0015119756571948528,No Significant Change
276,-6.0087767,-6.01070499420166,0.0019283295,0.0015316965291276574,No Significant Change
277,-6.0125375,-6.010608673095703,-0.0019288063,0.0015515281120315194,No Significant Change
278,-6.008769,-6.01070499420166,0.0019359589,0.001570392050780356,No Significant Change
279,-6.012564,-6.010608196258545,-0.001955986,0.001588670420460403,No Significant Change
280,-6.008733,-6.010705947875977,0.0019731522,0.001607036218047142,No Significant Change
281,-6.012585,-6.0106072425842285,-0.0019779205,0.0016253419453278184,No Significant Change
282,-6.008734,-6.010705947875977,0.0019717216,0.001642970833927393,No Significant Change
283,-6.012603,-6.0106072425842285,-0.0019955635,0.0016594083281233907,No Significant Change
284,-6.0086975,-6.010706901550293,0.0020093918,0.0016762161394581199,No Significant Change
285,-6.0126076,-6.01060676574707,-0.0020008087,0.0016928749391809106,No Significant Change
286,-6.0087037,-6.010706901550293,0.002003193,0.0017082716803997755,No Significant Change
287,-6.012619,-6.01060676574707,-0.0020122528,0.0017230177763849497,No Significant Change
288,-6.0086794,-6.010707378387451,0.0020279884,0.0017374795861542225,No Significant Change
289,-6.0126233,-6.010606288909912,-0.0020170212,0.0017520049586892128,No Significant Change
290,-6.0086937,-6.010706901550293,0.0020132065,0.0017652558162808418,No Significant Change
291,-6.0126266,-6.010606288909912,-0.002020359,0.0017776533495634794,No Significant Change
292,-6.008677,-6.010707378387451,0.0020303726,0.0017897887155413628,No Significant Change
293,-6.0126247,-6.010605812072754,-0.0020189285,0.00180181791074574,No Significant Change
294,-6.0086956,-6.010706424713135,0.0020108223,0.001812673406675458,No Significant Change
295,-6.012617,-6.010605812072754,-0.0020112991,0.0018225809326395392,No Significant Change
296,-6.0086875,-6.010706424713135,0.0020189285,0.0018320167437195778,No Significant Change
297,-6.0126143,-6.010605812072754,-0.002008438,0.0018413623329252005,No Significant Change
298,-6.0087185,-6.010705947875977,0.0019874573,0.0018497161800041795,No Significant Change
299,-6.0125995,-6.01060676574707,-0.0019927025,0.0018566031940281391,No Significant Change
300,-6.0087132,-6.010706424713135,0.0019931793,0.0018634081352502108,No Significant Change
301,-6.0125833,-6.01060676574707,-0.00197649,0.0018698966596275568,No Significant Change
302,-6.0087495,-6.010705471038818,0.001955986,0.0018752263858914375,No Significant Change
303,-6.0125628,-6.010607719421387,-0.0019550323,0.0018792643677443266,No Significant Change
304,-6.0087543,-6.010705471038818,0.0019512177,0.0018830527551472187,No Significant Change
305,-6.012544,-6.010608196258545,-0.0019359589,0.0018864610465243459,No Significant Change
