Frame,Current_Pitch,Baseline_Pitch,Delta_Pitch,Baseline_Pitch_Deviation,Pitch_Category
199,150.0,150.51194539249147,-0.5119453924914694,0.0,Very Low
200,150.51194539249147,150.4863481228669,0.025597269624569208,0.02559726962457347,No Significant Change
201,150.0,150.48762798634812,-0.4876279863481159,0.025597269624573257,Very Low
202,150.51194539249147,150.4632465870307,0.04869880546075933,0.04869880546075039,No Significant Change
203,150.0,150.46568152730373,-0.4656815273037296,0.04869880546075083,Very Low
204,150.51194539249147,150.44239745093853,0.06954794155294053,0.06954794155289977,No Significant Change
205,150.51194539249147,150.44587484801616,0.06607054447530913,0.0695479415529018,No Significant Change
206,150.51194539249147,150.4491783752399,0.06276701725155931,0.06937407169902216,No Significant Change
207,150.51194539249147,150.45231672610248,0.05962866638898845,0.06904371897664902,No Significant Change
208,150.51194539249147,150.45529815942191,0.05664723306955466,0.06857296634726598,No Significant Change
209,150.51194539249147,150.4581305210754,0.05381487141607977,0.0679766796833804,No Significant Change
210,150.51194539249147,150.46082126464617,0.05112412784529852,0.06726858927001536,No Significant Change
211,150.51194539249147,150.46337747103843,0.04856792145304212,0.06646136619877951,No Significant Change
212,150.51194539249147,150.46580586711107,0.04613952538039712,0.06556669396149264,No Significant Change
213,150.51194539249147,150.46811284338008,0.04383254911138579,0.06459533553243786,No Significant Change
214,150.51194539249147,150.47030447083563,0.04164092165584066,0.06355719621138525,No Significant Change
215,150.51194539249147,150.47238651691842,0.039558875573050045,0.062461382483608024,No Significant Change
216,150.51194539249147,150.47436446069707,0.0375809317943947,0.06131625713808012,No Significant Change
217,150.51194539249147,150.4762435072868,0.035701885204673545,0.06012949087089585,No Significant Change
218,150.51194539249147,150.478028601547,0.03391679094445976,0.05890811058758473,No Significant Change
219,150.51194539249147,150.47972444109422,0.032220951397249564,0.05765854460542848,No Significant Change
220,150.51194539249147,150.48133548866406,0.030609903827411244,0.05638666494501953,No Significant Change
221,150.51194539249147,150.48286598385542,0.02907940863605063,0.05509782688913912,No Significant Change
222,150.51194539249147,150.4843199542872,0.027625438204267994,0.05379690597648469,No Significant Change
223,150.51194539249147,150.4857012261974,0.02624416629407733,0.05248833258787385,No Significant Change
224,150.51194539249147,150.48701343451208,0.024931957979390518,0.05117612427318403,No Significant Change
225,150.51194539249147,150.48826003241103,0.023685360080435203,0.04986391595849435,No Significant Change
226,150.51194539249147,150.48944430041504,0.02250109207642481,0.04855498816459138,No Significant Change
227,150.51194539249147,150.49056935501886,0.021376037472606413,0.04725229336018306,No Significant Change
228,150.51194539249147,150.4916381568925,0.020307235598977513,0.045958480565804226,No Significant Change
229,150.51194539249147,150.49265351867243,0.01929187381904285,0.04467591831746289,No Significant Change
230,150.51194539249147,150.49361811236338,0.018327280128090706,0.04340671609254189,No Significant Change
231,150.51194539249147,150.49453447636978,0.017410916121690434,0.042152744294319325,No Significant Change
232,150.0,150.49540502217585,-0.49540502217584503,0.040915652885687874,Very Low
233,150.51194539249147,150.47063477106704,0.04131062142442943,0.06364012135019573,No Significant Change
234,150.0,150.47270030213826,-0.4727003021382643,0.0625236463539074,Very Low
235,150.51194539249147,150.44906528703135,0.06288010546012401,0.08303247914312525,No Significant Change
236,150.0,150.45220929230433,-0.4522092923043317,0.0820248604589752,Very Low
237,150.51194539249147,150.42959882768912,0.08234656480235003,0.10053408205124302,No Significant Change
238,150.0,150.43371615592923,-0.4337161559292326,0.09962470618879836,Very Low
239,150.51194539249147,150.41203034813276,0.09991504435870979,0.11632927867582007,No Significant Change
240,150.0,150.41702610035068,-0.4170261003506823,0.11550856695996456,Very Low
241,150.51194539249147,150.39617479533314,0.11577059715833116,0.13058444362950045,No Significant Change
242,150.0,150.40196332519105,-0.4019633251910477,0.12984375130594197,Very Low
243,150.51194539249147,150.38186515893148,0.13008023355999399,0.14344973000019726,No Significant Change
244,150.0,150.38836917060945,-0.388369170609451,0.14278125517818707,Very Low
245,150.51194539249147,150.36895071207897,0.14299468041249952,0.15506065094975027,No Significant Change
246,150.0,150.37610044609957,-0.3761004460995707,0.15445735242288772,Low
247,150.51194539249147,150.3572954237946,0.15464996869687297,0.16553950710672188,No Significant Change
248,150.0,150.36502792222942,-0.36502792222941594,0.1649950301862294,Low
249,150.51194539249147,150.34677652611794,0.16516886637353423,0.17499667478838873,No Significant Change
250,150.0,150.3550349694366,-0.35503496943658774,0.17450528436764598,Low
251,150.51194539249147,150.33728322096476,0.17466217152670538,0.18353176862109308,No Significant Change
252,150.0,150.3460163295411,-0.34601632954110073,0.1830882887663737,Low
253,150.51194539249147,150.32871551306403,0.18322987942744362,0.19123469080511005,No Significant Change
254,150.0,150.3378770070354,-0.33787700703538803,0.1908344502362267,Low
255,150.51194539249147,150.3209831566836,0.19096223580785932,0.19818657807618476,No Significant Change
256,150.0,150.330531268474,-0.3305312684740045,0.19782536096276848,Low
